Datum,Differenz in kWh,Kapazität in kWh,Laden/Einspeisen in kWh
2030-11-24 19:45:00,-269.2340612229127,50593.91263405113,269.2340612229127
2030-11-24 20:00:00,-807.9308227895817,51401.84345684071,807.9308227895817
2030-11-24 20:15:00,-1221.2744788330347,52623.11793567374,1221.2744788330347
2030-11-24 20:30:00,-1466.7960376804258,54089.91397335417,1466.7960376804258
2030-11-24 20:45:00,-1578.8379016722865,55668.75187502646,1578.8379016722865
2030-11-24 21:00:00,-1326.449688313467,56000.0,1326.449688313467
2030-11-24 21:15:00,-1229.4817357574211,56000.0,0.0
2030-11-24 21:30:00,-1492.8168199290994,56000.0,0.0
2030-11-24 21:45:00,-1499.1240377340837,56000.0,0.0
2030-11-24 22:00:00,-1205.5777992217554,56000.0,0.0
2030-11-24 22:15:00,-1324.7547357004369,56000.0,0.0
2030-11-24 22:30:00,-1040.1008836073634,56000.0,0.0
2030-11-24 22:45:00,-867.7830798487521,56000.0,0.0
2030-11-24 23:00:00,-963.9523886657626,56000.0,0.0
2030-11-24 23:15:00,-849.4198392254693,56000.0,0.0
2030-11-24 23:30:00,-932.7243491645131,56000.0,0.0
2030-11-24 23:45:00,-968.9296074939302,56000.0,0.0
2030-11-25 00:00:00,-578.2985962558996,56000.0,0.0
2030-11-25 00:15:00,-409.4403308999208,56000.0,0.0
2030-11-25 00:30:00,-374.42897229527443,56000.0,0.0
2030-11-25 00:45:00,-473.24992266088157,56000.0,0.0
2030-11-25 01:00:00,-271.2366873928004,56000.0,0.0
2030-11-25 01:15:00,-99.69401006205226,56000.0,0.0
2030-11-25 01:30:00,149.51888207473894,55850.48111792526,-149.51888207473894
2030-11-25 01:45:00,89.8195946853557,55760.661523239905,-89.8195946853557
2030-11-25 02:00:00,351.344631801594,55409.31689143831,-351.344631801594
2030-11-25 02:15:00,435.78129299027205,54973.53559844804,-435.78129299027205
2030-11-25 02:30:00,284.02351555325913,54689.512082894784,-284.02351555325913
2030-11-25 02:45:00,117.75076572268335,54571.7613171721,-117.75076572268335
2030-11-25 03:00:00,-50.888065765113424,54622.64938293722,50.888065765113424
2030-11-25 03:15:00,-306.402282901563,54929.05166583878,306.402282901563
2030-11-25 03:30:00,-538.5546932411362,55467.60635907992,538.5546932411362
